"District","Coordination_n","PreventionControl_n","Surveillance_n","RiskCommunication_n","MentalHealth_n","ICTInnovation_n","WASH_n","Logistics_n","HumanResources_n","CaseManagement_n","Coordination","PreventionControl","Surveillance","CaseManagement","RiskCommunication","MentalHealth","ICTInnovation","WASH","Logistics","HumanResources"
"AGAGO",4,3,0,5,3,1,4,4,2,1,"Adventist Development & Relief Agency (ADRA) | ChildFund International | Danish Refugee Council (DRC) | UNICEF","Adventist Development & Relief Agency (ADRA) | Takataka Plastics | UNICEF",,"UNICEF","Adventist Development & Relief Agency (ADRA) | ChildFund International | Danish Refugee Council (DRC) | UNICEF | World Vision Uganda","ChildFund International | UNICEF | World Vision Uganda","ChildFund International","Adventist Development & Relief Agency (ADRA) | ChildFund International | UNICEF | World Vision Uganda","ChildFund International | Takataka Plastics | UNICEF | World Vision Uganda","UNICEF | World Vision Uganda"
"AMURU",2,2,0,2,2,0,1,2,1,2,"Tackling Deadly Diseases in Africa Programme (TDDAP) | UNICEF","Takataka Plastics | UNICEF",,"Save the Children International | UNICEF","Save the Children International | UNICEF","Save the Children International | UNICEF",,"UNICEF","Takataka Plastics | UNICEF","UNICEF"
"GULU",4,3,2,6,4,2,5,5,3,5,"ChildFund International | Trocaire | UNICEF | Voluntary Services Overseas (VSO)","Takataka Plastics | UNICEF | Voluntary Services Overseas (VSO)","Makerere University Walter Reed Project | Voluntary Services Overseas (VSO)","CARE International | Makerere University Walter Reed Project | Save the Children International | UNICEF | Voluntary Services Overseas (VSO)","CARE International | ChildFund International | Save the Children International | UNICEF | Voluntary Services Overseas (VSO) | World Vision Uganda","CARE International | ChildFund International | Save the Children International | UNICEF","ChildFund International | Voluntary Services Overseas (VSO)","ChildFund International | Trocaire | UNICEF | Voluntary Services Overseas (VSO) | World Vision Uganda","ChildFund International | Takataka Plastics | UNICEF | Voluntary Services Overseas (VSO) | World Vision Uganda","UNICEF | Voluntary Services Overseas (VSO) | World Vision Uganda"
"KITGUM",5,4,1,5,2,1,4,4,2,1,"Adventist Development & Relief Agency (ADRA) | ChildFund International | Danish Refugee Council (DRC) | Food for the Hungry | UNICEF","Adventist Development & Relief Agency (ADRA) | Food for the Hungry | Takataka Plastics | UNICEF","Food for the Hungry","UNICEF","Adventist Development & Relief Agency (ADRA) | ChildFund International | Danish Refugee Council (DRC) | Food for the Hungry | UNICEF","ChildFund International | UNICEF","ChildFund International","Adventist Development & Relief Agency (ADRA) | ChildFund International | Food for the Hungry | UNICEF","ChildFund International | Food for the Hungry | Takataka Plastics | UNICEF","Food for the Hungry | UNICEF"
"LAMWO",7,5,2,7,5,0,5,6,4,3,"Danish Refugee Council (DRC) | Food for the Hungry | Lutheran World Federation | Street Child of Uganda | Trocaire | UNICEF | United Nations High Commissioner For Refugees","Food for the Hungry | Lutheran World Federation | Takataka Plastics | UNICEF | United Nations High Commissioner For Refugees","Lutheran World Federation | United Nations High Commissioner For Refugees","Lutheran World Federation | UNICEF | United Nations High Commissioner For Refugees","Danish Refugee Council (DRC) | Lutheran World Federation | Save the Children International | Street Child of Uganda | Trocaire | UNICEF | United Nations High Commissioner For Refugees","Lutheran World Federation | Street Child of Uganda | Trocaire | UNICEF | United Nations High Commissioner For Refugees",,"Lutheran World Federation | Street Child of Uganda | Trocaire | UNICEF | United Nations High Commissioner For Refugees","Dan Church Aid (DCA) | Lutheran World Federation | Takataka Plastics | Trocaire | UNICEF | United Nations High Commissioner For Refugees","Lutheran World Federation | Trocaire | UNICEF | United Nations High Commissioner For Refugees"
"NWOYA",1,2,0,2,2,0,1,3,1,1,"UNICEF","Takataka Plastics | UNICEF",,"UNICEF","Save the Children International | UNICEF","Save the Children International | UNICEF",,"UNICEF","Save the Children International | Takataka Plastics | UNICEF","UNICEF"
"OMORO",1,2,0,3,3,0,2,3,3,2,"UNICEF","Takataka Plastics | UNICEF",,"Save the Children International | UNICEF","Save the Children International | UNICEF | World Vision Uganda","Save the Children International | UNICEF | World Vision Uganda",,"UNICEF | World Vision Uganda","Takataka Plastics | UNICEF | World Vision Uganda","Save the Children International | UNICEF | World Vision Uganda"
"PADER",2,3,0,3,2,0,3,3,2,1,"Adventist Development & Relief Agency (ADRA) | UNICEF","Adventist Development & Relief Agency (ADRA) | Takataka Plastics | UNICEF",,"UNICEF","Adventist Development & Relief Agency (ADRA) | UNICEF | World Vision Uganda","UNICEF | World Vision Uganda",,"Adventist Development & Relief Agency (ADRA) | UNICEF | World Vision Uganda","Takataka Plastics | UNICEF | World Vision Uganda","UNICEF | World Vision Uganda"
"BUHWEJU",1,2,3,3,1,3,1,3,2,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation"
"BUSHENYI",1,2,3,3,1,3,1,3,2,2,"World Health Organisation","United States Agency for International Development | World Health Organisation","Ministry of Security | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation","Farm Radio International | UNICEF | World Health Organisation","World Health Organisation","Farm Radio International | United States Agency for International Development | World Health Organisation","Farm Radio International","UNICEF | United States Agency for International Development | World Health Organisation","United States Agency for International Development | World Health Organisation"
