projects_uID,name_agency,project_title,donors,project_status,ongoing_ability,new_project_funding,funding_amount,pillars,projects_activities,other_activities,implimenting_partner,regions,districts
ID-1,Catholic Relief Services,COVID-19 activities only,Latter Day Saints Charities,ongoing_project,yes,NA,75796,"Infection prevention,WASH,Human resources","none, other, none, none, procure_wash_infrastructure hygiene_promotion_sensitization other, none, none,  none, compensation_responders",Faecal Sludge Management: desludging 52 institutional and 600 PSN households latrines. Household latrines desludging through Community-based sanitation entrepreneurs. PSN households will received cash support through evoucher to cover desludging costs to the sanitation entrepreneurs.,,westnile,yumbe
ID-2,AVSI FOUNDATION,"District Health System Strengthening on RMNCAH, HIV, and Nutrition Westnile, Lamwo and Kiryandongo districts",unicef,ongoing_project,yes,NA,230000,"Coordination,Infection prevention,Surveillance,Case management,WASH,Risk communications,Logistics","simulation_exercises orientation_surge tech_support_lg ehd_districts_wash other, adapted_ipc_standard_operating_procedures procure_ipc ipc_refresher_training_and_onsite_mentorship_on_standard_and_transmission, orient_workers_surveillance entry_point_supervisors case_investigation risk_centre_identification contact_tracing_followup containment_measures_geographic, orientation_workers_rrh activate_ambulance, procure_wash_infrastructure support_community_engagement_meetings support_operationalization_of_wash_committees, none, none, cash supplies, procure_ppe procure_waste_management_supplies, none",Targeted rehabilitation of 17 Delivery Wards in HCIII and IV in West Nile including WASH and Lighting,,acholi bunyoro westnile,"lamwo, kiryandongo, maracha pakwach zombo yumbe adjumani arua nebbi koboko moyo madiokollo obongi"
ID-3,Hope for Children,COVID-19 Activities,This particular donor wants to remain anonymous,ongoing_project,yes,NA,50000,"WASH,Mental health,Risk communications,Logistics,Human resources","none, none, none, none, hygiene_promotion_sensitization support_community_engagement_meetings, none, mhpss_counsellors, personnel, procure_ppe procure_thermoscanners, recruitment_costs",Dry foods distribution,,kampala,kampala
ID-4,Self Help Africa,Sustainable Livelihoods (SUSTAIN),ireland,ongoing_project,yes,NA,50000,"Coordination,Infection prevention,WASH,Risk communications","other, adapted_ipc_standard_operating_procedures, none, none, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, none, none, supplies personnel, none, none",Provision of agricultural inputs for 1000 households,"Implemeted directly in partnership with District Local Government, Directly, Direct Implementation, Direct implementation",westnile,adjumani
ID-5,Self Help Africa,"Increasing Household Income and Livelihoods for Women and Youth in Teso, North-east Uganda",uk,ongoing_project,yes,NA,50000,"Infection prevention,WASH,Risk communications,Logistics","none, adapted_ipc_standard_operating_procedures, none, none, support_engagements_with_authorities procure_wash_infrastructure hygiene_promotion_sensitization support_community_engagement_meetings, none, none, supplies personnel, other, none",Distribution of assorted seeds and inputs for 1000 households,"Volutary Action for Development (VAD) and Kapelebyong District Local Government (DLG), VAD and Kapelebyong DLG, VAD and Kapelebyong DLG, VAD and Kapelebyong DLG",teso,kapelebyong
ID-6,CARE International ,Women Adolescent and Youth Rights and Empowerment Project (WAY),unfpa,ongoing_project,yes,NA,14595,"Infection prevention,Risk communications","none, procure_ipc, none, none, none, none, none, supplies, none, none",NA,,acholi westnile,"lamwo amuru kitgum agago, yumbe adjumani arua moyo madiokollo obongi"
ID-7,International Justice Mission,COVID-19 activities only,germany,new_project,NA,no,10000,"Mental health,Risk communications","none, none, none, none, none, none, mhpss_counsellors, cash personnel, none, none","However, IJM is waiting to hear back about a proposal we submitted to the German government (via BMZ) for funding to put towards combatting GBV during the COVID crisis. Regardless of whether we are successful in our proposal, IJM will be  putting funds towards supporting the Uganda Child Helpline, the MGLSD (PSWOs) and Uganda Police (CID) to help them combat GBV. We are hoping to purchase motorbikes and support shelters serving vulnerable women and children.",Private counselors,kampala,kampala
ID-16,Engineering Ministries International,COVID-19 activities only,Internal Funding,new_project,NA,yes,5000,Logistics,"none, none, none, none, none, none, none,  other, none",NA,,"kampala, kampala","kampala, kampala"
ID-17,CARE International,COVID-19 Response,Internal Funding,new_project,NA,yes,60000,"WASH,Mental health,Risk communications,Logistics","none, none, none, none, procure_wash_infrastructure, none, mhpss_counsellors, supplies personnel, procure_ppe procure_waste_management_supplies procure_thermometers offloading_transport fuel procure_sanitizer procure_soap, none","Conducting a Rapid Gender Analysis in Gulu, Omugo, and Kyangwali",,"bunyoro westnile, bunyoro westnile","kikuube, arua, kikuube, arua madiokollo"
ID-18,CARE International,Enhanced Emergency Preparedness in Kikuube District,eu,ongoing_project,yes,NA,62975,"Coordination,Risk communications,Logistics","tech_support_lg, none, none, none, none, none, none, supplies personnel, procure_ppe procure_waste_management_supplies fuel procure_sanitizer, none","Training of Kikuube district COVID-19 taskforce,  and Sub County and Refugee Settlement leadership on COVID 19 impact on Gender & Protection",,bunyoro,kikuube
